Provinsi,Nilai_Air,Jmlh_Pelanggan,Jmlh_Pegawai,Pulau
Aceh,152839,221941,1186,Sumatra
Sumatra Utara,936629,866146,4104,Sumatra
Sumatra Barat,309177,570259,1425,Sumatra
Riau,76836,91389,978,Sumatra
Jambi,165555,943591,1421,Sumatra
Sumatra Selatan,628045,873312,2418,Sumatra
Bengkulu,80143,91641,559,Sumatra
Lampung,73300,86405,596,Sumatra
Kep. Bangka Belitung,43828,30508,327,Sumatra
Kep. Riau,595724,327946,882,Sumatra
DKI Jakarta,3090613,885353,2198,Jawa
Jawa Barat,1988278,1831042,7670,Jawa
Jawa Tengah,1638674,1765894,6425,Jawa
DI Yogyakarta,189735,180598,805,Jawa
Jawa Timur,2084035,2132347,6672,Jawa
Banten,1171980,311318,1279,Jawa
Bali,697634,470621,2382,Kep. Nusa Tenggara
Nusa Tenggara Barat,195335,547391,1218,Kep. Nusa Tenggara
Nusa Tenggara Timur,134230,154992,1136,Kep. Nusa Tenggara
Kalimantan Barat,274265,241233,1027,Kalimantan
Kalimantan Tengah,165648,150819,1079,Kalimantan
Kalimantan Selatan,598136,469378,1594,Kalimantan
Kalimantan Timur,861454,464138,2377,Kalimantan
Kalimatan Utara,103112,66961,345,Kalimantan
Sulawesi Utara,115913,117136,949,Sulawesi
Sulawesi Tengah,45569,99115,739,Sulawesi
Sulawesi Selatan,563417,509644,3133,Sulawesi
Sulawesi Tenggara,75674,94203,1082,Sulawesi
Gorontalo,69518,88339,662,Sulawesi
Sulawesi Barat,44073,63466,299,Sulawesi
Maluku,55276,57777,540,Kep. Maluku
Maluku Utara,86104,85433,520,Kep. Maluku
Papua Barat,34158,25125,197,Papua
Papua,89249,70483,362,Papua
