Provinsi,Nilai Air Bersih yang Disalurkan,Jumlah Pelanggan Perusahaan Air Bersih,Jumlah Pegawai Perusahaan Air Bersih
Aceh,152839,221941,1186
Sumatra Utara,936629,866146,4104
Sumatra Barat,309177,570259,1425
Riau,76836,91389,978
Jambi,165555,943591,1421
Sumatra Selatan,628045,873312,2418
Bengkulu,80143,91641,559
Lampung,73300,86405,596
Kep. Bangka Belitung,43828,30508,327
Kep. Riau,595724,327946,882
DKI Jakarta,3090613,885353,2198
Jawa Barat,1988278,1831042,7670
Jawa Tengah,1638674,1765894,6425
DI Yogyakarta,189735,180598,805
Jawa Timur,2084035,2132347,6672
Banten,1171980,311318,1279
Bali,697634,470621,2382
Nusa Tenggara Barat,195335,547391,1218
Nusa Tenggara Timur,134230,154992,1136
Kalimantan Barat,274265,241233,1027
Kalimantan Tengah,165648,150819,1079
Kalimantan Selatan,598136,469378,1594
Kalimantan Timur,861454,464138,2377
Kalimatan Utara,103112,66961,345
Sulawesi Utara,115913,117136,949
Sulawesi Tengah,45569,99115,739
Sulawesi Selatan,563417,509644,3133
Sulawesi Tenggara,75674,94203,1082
Gorontalo,69518,88339,662
Sulawesi Barat,44073,63466,299
Maluku,55276,57777,540
Maluku Utara,86104,85433,520
Papua Barat,34158,25125,197
Papua,89249,70483,362
